No,Position Level,Position Title,State,Age,Years of Exp.,Industry,Qualification,Salary (Rp)
1915,Supervisor  /  Coordinator,Teacher,Jakarta Raya,41,16,Services,Bachelor's Degree,5000000
1916,Supervisor  /  Coordinator,Teacher,Jawa Barat,40,15,Services,Bachelor's Degree,4000000
1917,Supervisor  /  Coordinator,Teacher,Jakarta Raya,40,10,Services,Bachelor's Degree,2000000
1918,Supervisor  /  Coordinator,Teacher,Jawa Barat,39,14,Services,Bachelor's Degree,4500000
1919,Supervisor  /  Coordinator,Teacher,Jakarta Raya,39,13,Services,Bachelor's Degree,2000000
1920,Supervisor  /  Coordinator,Teacher,Sumatera Utara,38,17,Services,Bachelor's Degree,5000000
1921,Supervisor  /  Coordinator,Teacher,Banten,38,20,Services,Associate Degree,3450000
1922,Supervisor  /  Coordinator,Teacher,Banten,37,13,Services,Bachelor's Degree,5000000
1923,Supervisor  /  Coordinator,Teacher,Jakarta Raya,37,15,Services,Bachelor's Degree,4000000
1924,Supervisor  /  Coordinator,Teacher,Jakarta Raya,37,14,Services,Bachelor's Degree,3500000
1925,Supervisor  /  Coordinator,Teacher,Jakarta Raya,36,11,Services,Master's Degree / Post Graduate Degree,6200000
1926,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Riau,57,33,Manufacturing,Bachelor's Degree,6200000
1927,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jawa Barat,56,30,Transport / Storage / Freight / Shipping,Associate Degree,15000000
1928,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jakarta Raya,54,29,Construction,Bachelor's Degree,10500000
1929,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Banten,53,28,Energy / Electricity / Water / Natural Resources,Master's Degree / Post Graduate Degree,30000000
1930,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jawa Barat,53,24,Manufacturing,Bachelor's Degree,25000000
1931,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jawa Barat,53,26,Wholesale / Retail / Trading,Bachelor's Degree,20000000
1932,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jawa Barat,51,32,Construction,Bachelor's Degree,15000000
1933,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jakarta Raya,50,17,Services,Bachelor's Degree,26000000
1934,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jakarta Raya,50,22,Energy / Electricity / Water / Natural Resources,Master's Degree / Post Graduate Degree,22000000
1935,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jakarta Raya,50,27,Manufacturing,Bachelor's Degree,21000000
1936,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jawa Tengah,50,26,Manufacturing,Master's Degree / Post Graduate Degree,15000000
1937,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jakarta Raya,50,25,Agriculture / Plantations / Aquaculture,Bachelor's Degree,12000000
1938,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jawa Barat,50,24,Others,Bachelor's Degree,7500000
1939,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jakarta Raya,49,28,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,30000000
1940,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Riau,49,26,Agriculture / Plantations / Aquaculture,Master's Degree / Post Graduate Degree,30000000
1941,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jakarta Raya,49,26,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,19000000
1942,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jakarta Raya,49,29,Manufacturing,Master's Degree / Post Graduate Degree,15000000
1943,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jawa Timur,49,28,Transport / Storage / Freight / Shipping,Bachelor's Degree,15000000
1944,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jawa Barat,49,17,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,12500000
1945,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jakarta Raya,48,25,Wholesale / Retail / Trading,Bachelor's Degree,30000000
1946,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jakarta Raya,48,25,Services,Bachelor's Degree,30000000
1947,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jakarta Raya,48,22,Agriculture / Plantations / Aquaculture,Master's Degree / Post Graduate Degree,25400000
1948,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jakarta Raya,48,30,Services,Doctorate,25000000
1949,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jawa Barat,48,20,Services,Bachelor's Degree,25000000
1950,CEO  /  GM  /  Director  /  Senior Manager,Accounting,Jakarta Raya,48,21,Others,Master's Degree / Post Graduate Degree,25000000
1951,Manager  /  Assistant Manager,Site Engineer,Jakarta Raya,51,21,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,9000000
1952,Manager  /  Assistant Manager,Site Engineer,Banten,48,23,Manufacturing,Bachelor's Degree,15000000
1953,Manager  /  Assistant Manager,Site Engineer,Jawa Tengah,44,20,Construction,Bachelor's Degree,8000000
1954,Manager  /  Assistant Manager,Site Engineer,Riau,43,16,Manufacturing,Bachelor's Degree,10000000
1955,Manager  /  Assistant Manager,Site Engineer,Jakarta Raya,42,18,Construction,Bachelor's Degree,12000000
1956,Manager  /  Assistant Manager,Site Engineer,Jakarta Raya,38,12,Construction,Bachelor's Degree,10400000
1957,Manager  /  Assistant Manager,Site Engineer,Sulawesi Selatan,38,15,Construction,Bachelor's Degree,10000000
1958,Manager  /  Assistant Manager,Site Engineer,Jakarta Raya,36,11,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,10000000
1959,Manager  /  Assistant Manager,Site Engineer,Jawa Barat,34,11,Construction,Associate Degree,15000000
1960,Manager  /  Assistant Manager,Site Engineer,Jakarta Raya,34,10,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,8000000
1961,Manager  /  Assistant Manager,Site Engineer,Jakarta Raya,34,7,Manufacturing,Bachelor's Degree,7500000
1962,Manager  /  Assistant Manager,Site Engineer,Banten,33,9,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,15000000
1963,Manager  /  Assistant Manager,Site Engineer,Jawa Barat,33,8,Construction,Bachelor's Degree,9000000
1964,Manager  /  Assistant Manager,Site Engineer,Jawa Timur,31,7,Others,Bachelor's Degree,12000000
1965,Manager  /  Assistant Manager,Site Engineer,Jakarta Raya,31,8,Construction,Bachelor's Degree,10000000
1966,Manager  /  Assistant Manager,Site Engineer,Jawa Tengah,30,5,Construction,Bachelor's Degree,8845000
1967,Manager  /  Assistant Manager,Site Engineer,Jawa Barat,30,4,Construction,Bachelor's Degree,6500000
1968,Manager  /  Assistant Manager,Site Engineer,Jakarta Raya,30,5,Construction,Bachelor's Degree,5800000
1969,Manager  /  Assistant Manager,Site Engineer,Jawa Timur,29,8,Construction,Bachelor's Degree,7800000
1970,Manager  /  Assistant Manager,Site Engineer,Jakarta Raya,28,10,Construction,Bachelor's Degree,5000000
1971,Manager  /  Assistant Manager,Site Engineer,Sumatera Utara,28,4,Construction,Bachelor's Degree,4000000
1972,Manager  /  Assistant Manager,Site Engineer,Jawa Barat,27,6,Construction,Associate Degree,10000000
1973,Manager  /  Assistant Manager,Site Engineer,Jakarta Raya,27,6,Construction,Bachelor's Degree,10000000
1974,Manager  /  Assistant Manager,Site Engineer,Jakarta Raya,26,5,Construction,Bachelor's Degree,10000000
1975,Supervisor  /  Coordinator,Site Engineer,Jakarta Raya,53,32,Construction,Bachelor's Degree,10000000
1976,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jawa Tengah,54,33,Others,Bachelor's Degree,27000000
1977,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jakarta Raya,52,21,Services,Associate Degree,14000000
1978,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jakarta Raya,52,27,Services,Master's Degree / Post Graduate Degree,8500000
1979,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jakarta Raya,50,28,IT / Telecommunication,Associate Degree,12800000
1980,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jawa Barat,49,25,IT / Telecommunication,Bachelor's Degree,12000000
1981,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jawa Barat,47,23,Wholesale / Retail / Trading,Bachelor's Degree,25500000
1982,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jawa Barat,47,14,IT / Telecommunication,Master's Degree / Post Graduate Degree,15000000
1983,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Banten,45,21,Wholesale / Retail / Trading,Bachelor's Degree,30000000
1984,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jawa Barat,45,19,Services,Bachelor's Degree,19500000
1985,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jakarta Raya,44,18,IT / Telecommunication,Master's Degree / Post Graduate Degree,30000000
1986,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jakarta Raya,44,19,Manufacturing,Master's Degree / Post Graduate Degree,20000000
1987,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jakarta Raya,44,16,Services,Bachelor's Degree,11000000
1988,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jawa Timur,43,19,Services,Bachelor's Degree,15000000
1989,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jakarta Raya,41,22,Agriculture / Plantations / Aquaculture,Bachelor's Degree,30000000
1990,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jakarta Raya,41,18,Manufacturing,Bachelor's Degree,20000000
1991,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jakarta Raya,41,17,Wholesale / Retail / Trading,Bachelor's Degree,19000000
1992,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jakarta Raya,41,17,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,14000000
1993,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jakarta Raya,41,23,Wholesale / Retail / Trading,Bachelor's Degree,10750000
1994,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Banten,40,15,Manufacturing,Associate Degree,20000000
1995,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Banten,39,14,Wholesale / Retail / Trading,Bachelor's Degree,30000000
1996,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jakarta Raya,39,14,Wholesale / Retail / Trading,Bachelor's Degree,23000000
1997,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Banten,39,15,Wholesale / Retail / Trading,Bachelor's Degree,15400000
1998,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jakarta Raya,39,18,Wholesale / Retail / Trading,Bachelor's Degree,15000000
1999,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Jakarta Raya,38,15,Wholesale / Retail / Trading,Bachelor's Degree,23000000
2000,CEO  /  GM  /  Director  /  Senior Manager,Account Manager,Banten,38,16,IT / Telecommunication,Bachelor's Degree,10000000
2001,Manager  /  Assistant Manager,Production Supervisor,Kepulauan Riau,42,18,Manufacturing,Associate Degree,5130000
2002,Manager  /  Assistant Manager,Production Supervisor,Jawa Barat,40,17,Manufacturing,Bachelor's Degree,7500000
2003,Manager  /  Assistant Manager,Production Supervisor,Banten,36,11,Manufacturing,Bachelor's Degree,7000000
2004,Supervisor  /  Coordinator,Production Supervisor,Riau,47,20,Manufacturing,Associate Degree,7500000
2005,Supervisor  /  Coordinator,Production Supervisor,Jawa Barat,45,17,Manufacturing,Bachelor's Degree,7000000
2006,Supervisor  /  Coordinator,Production Supervisor,Jakarta Raya,44,23,Manufacturing,Associate Degree,5500000
2007,Supervisor  /  Coordinator,Production Supervisor,Jawa Barat,42,18,Manufacturing,Bachelor's Degree,6500000
2008,Supervisor  /  Coordinator,Production Supervisor,Jakarta Raya,41,17,Wholesale / Retail / Trading,Bachelor's Degree,6000000
2009,Supervisor  /  Coordinator,Production Supervisor,Jawa Barat,41,15,Manufacturing,Associate Degree,5500000
2010,Supervisor  /  Coordinator,Production Supervisor,Jawa Barat,41,14,Wholesale / Retail / Trading,Bachelor's Degree,5500000
2011,Supervisor  /  Coordinator,Production Supervisor,Jawa Barat,40,18,Automotive / Heavy Industry,Bachelor's Degree,7500000
2012,Supervisor  /  Coordinator,Production Supervisor,Jakarta Raya,40,12,Manufacturing,Associate Degree,6000000
2013,Supervisor  /  Coordinator,Production Supervisor,Jawa Barat,40,16,Manufacturing,Bachelor's Degree,5000000
2014,Supervisor  /  Coordinator,Production Supervisor,Jawa Barat,39,16,Wholesale / Retail / Trading,Bachelor's Degree,7000000
2015,Supervisor  /  Coordinator,Production Supervisor,Jawa Barat,39,16,Construction,Associate Degree,6500000
2016,Supervisor  /  Coordinator,Production Supervisor,Jawa Barat,39,16,Manufacturing,Bachelor's Degree,6500000
2017,Supervisor  /  Coordinator,Production Supervisor,Jawa Barat,39,13,Wholesale / Retail / Trading,Bachelor's Degree,5850000
2018,Supervisor  /  Coordinator,Production Supervisor,Jawa Barat,39,15,Manufacturing,Bachelor's Degree,5500000
2019,Supervisor  /  Coordinator,Production Supervisor,Jakarta Raya,38,13,Manufacturing,Bachelor's Degree,7500000
2020,Supervisor  /  Coordinator,Production Supervisor,Jakarta Raya,38,13,Manufacturing,Bachelor's Degree,7300000
2021,Supervisor  /  Coordinator,Production Supervisor,Jakarta Raya,38,17,Manufacturing,Bachelor's Degree,6750000
2022,Supervisor  /  Coordinator,Production Supervisor,Jawa Timur,38,18,Manufacturing,Bachelor's Degree,4500000
2023,Supervisor  /  Coordinator,Production Supervisor,Jakarta Raya,37,15,Manufacturing,Associate Degree,7300000
2024,Supervisor  /  Coordinator,Production Supervisor,Jawa Barat,37,12,Manufacturing,Bachelor's Degree,7025660
2025,Supervisor  /  Coordinator,Production Supervisor,Jawa Barat,37,12,Services,Bachelor's Degree,5000000
2026,Supervisor  /  Coordinator,Credit Marketing Officer,Jakarta Raya,41,18,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2500000
2027,Supervisor  /  Coordinator,Credit Marketing Officer,Jawa Tengah,34,9,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2500000
2028,Supervisor  /  Coordinator,Credit Marketing Officer,Jawa Barat,33,10,Others,Bachelor's Degree,3000000
2029,Supervisor  /  Coordinator,Credit Marketing Officer,Yogyakarta,31,8,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3500000
2030,Supervisor  /  Coordinator,Credit Marketing Officer,Jakarta Raya,30,5,Services,Bachelor's Degree,3500000
2031,Supervisor  /  Coordinator,Credit Marketing Officer,Jawa Timur,29,5,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3000000
2032,Staff (non-management & non-supervisor),Credit Marketing Officer,Jawa Timur,41,19,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2500000
2033,Staff (non-management & non-supervisor),Credit Marketing Officer,Yogyakarta,41,14,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2100000
2034,Staff (non-management & non-supervisor),Credit Marketing Officer,Jakarta Raya,40,13,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2700000
2035,Staff (non-management & non-supervisor),Credit Marketing Officer,Banten,39,15,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3500000
2036,Staff (non-management & non-supervisor),Credit Marketing Officer,Jawa Timur,38,9,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,4000000
2037,Staff (non-management & non-supervisor),Credit Marketing Officer,Jakarta Raya,38,11,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2500000
2038,Staff (non-management & non-supervisor),Credit Marketing Officer,Jakarta Raya,38,13,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2500000
2039,Staff (non-management & non-supervisor),Credit Marketing Officer,Jakarta Raya,37,12,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2800000
2040,Staff (non-management & non-supervisor),Credit Marketing Officer,Sumatera Utara,37,10,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2500000
2041,Staff (non-management & non-supervisor),Credit Marketing Officer,Jawa Barat,36,14,Automotive / Heavy Industry,Associate Degree,2500000
2042,Staff (non-management & non-supervisor),Credit Marketing Officer,Jawa Tengah,36,12,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2100000
2043,Staff (non-management & non-supervisor),Credit Marketing Officer,Jawa Barat,35,9,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,4000000
2044,Staff (non-management & non-supervisor),Credit Marketing Officer,Banten,35,10,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2550000
2045,Staff (non-management & non-supervisor),Credit Marketing Officer,Jawa Timur,35,10,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2500000
2046,Staff (non-management & non-supervisor),Credit Marketing Officer,Jawa Barat,35,4,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2300000
2047,Staff (non-management & non-supervisor),Credit Marketing Officer,Jawa Barat,35,12,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2200000
2048,Staff (non-management & non-supervisor),Credit Marketing Officer,Jawa Barat,35,11,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2200000
2049,Staff (non-management & non-supervisor),Credit Marketing Officer,Jakarta Raya,35,10,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2200000
2050,Staff (non-management & non-supervisor),Credit Marketing Officer,Jawa Timur,35,10,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2000000
2051,Manager  /  Assistant Manager,Finance Supervisor,Jakarta Raya,39,15,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,8000000
2052,Manager  /  Assistant Manager,Finance Supervisor,Banten,37,15,0,Associate Degree,7850000
2053,Manager  /  Assistant Manager,Finance Supervisor,Jakarta Raya,32,6,Services,Bachelor's Degree,8000000
2054,Manager  /  Assistant Manager,Finance Supervisor,Jakarta Raya,31,7,Construction,Bachelor's Degree,8000000
2055,Supervisor  /  Coordinator,Finance Supervisor,Banten,45,22,Construction,Bachelor's Degree,7700000
2056,Supervisor  /  Coordinator,Finance Supervisor,Jakarta Raya,44,15,Others,Bachelor's Degree,6000000
2057,Supervisor  /  Coordinator,Finance Supervisor,Jawa Barat,43,17,Transport / Storage / Freight / Shipping,Bachelor's Degree,7500000
2058,Supervisor  /  Coordinator,Finance Supervisor,Jakarta Raya,43,17,Services,Bachelor's Degree,5500000
2059,Supervisor  /  Coordinator,Finance Supervisor,Jakarta Raya,41,18,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,6000000
2060,Supervisor  /  Coordinator,Finance Supervisor,Jakarta Raya,40,18,Agriculture / Plantations / Aquaculture,Bachelor's Degree,7500000
2061,Supervisor  /  Coordinator,Finance Supervisor,Banten,39,16,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,8000000
2062,Supervisor  /  Coordinator,Finance Supervisor,Jakarta Raya,39,15,Services,Bachelor's Degree,6000000
2063,Supervisor  /  Coordinator,Finance Supervisor,Jakarta Raya,39,16,Services,Bachelor's Degree,6000000
2064,Supervisor  /  Coordinator,Finance Supervisor,Jawa Barat,39,14,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,5500000
2065,Supervisor  /  Coordinator,Finance Supervisor,Banten,38,11,Transport / Storage / Freight / Shipping,Bachelor's Degree,8000000
2066,Supervisor  /  Coordinator,Finance Supervisor,Jakarta Raya,38,13,Automotive / Heavy Industry,Bachelor's Degree,8000000
2067,Supervisor  /  Coordinator,Finance Supervisor,Jawa Barat,38,11,Construction,Bachelor's Degree,7500000
2068,Supervisor  /  Coordinator,Finance Supervisor,Jakarta Raya,38,15,Services,Master's Degree / Post Graduate Degree,7000000
2069,Supervisor  /  Coordinator,Finance Supervisor,Jakarta Raya,38,14,Others,Bachelor's Degree,6500000
2070,Supervisor  /  Coordinator,Finance Supervisor,Banten,38,13,Others,Bachelor's Degree,6000000
2071,Supervisor  /  Coordinator,Finance Supervisor,Jakarta Raya,37,11,Services,Bachelor's Degree,7000000
2072,Supervisor  /  Coordinator,Finance Supervisor,Jakarta Raya,37,13,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,6000000
2073,Supervisor  /  Coordinator,Finance Supervisor,Jakarta Raya,37,13,0,Bachelor's Degree,5800000
2074,Supervisor  /  Coordinator,Finance Supervisor,Jawa Barat,36,12,Manufacturing,Bachelor's Degree,8000000
2075,Supervisor  /  Coordinator,Finance Supervisor,Jakarta Raya,36,9,Wholesale / Retail / Trading,Bachelor's Degree,7500000
2076,CEO  /  GM  /  Director  /  Senior Manager,Personal Assistant,Jakarta Raya,41,14,Services,Bachelor's Degree,6000000
2077,CEO  /  GM  /  Director  /  Senior Manager,Personal Assistant,Jawa Timur,39,17,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,6000000
2078,CEO  /  GM  /  Director  /  Senior Manager,Personal Assistant,Jakarta Raya,35,11,Services,Bachelor's Degree,8600000
2079,CEO  /  GM  /  Director  /  Senior Manager,Personal Assistant,Jakarta Raya,33,11,Services,Associate Degree,10000000
2080,CEO  /  GM  /  Director  /  Senior Manager,Personal Assistant,Jakarta Raya,32,7,Manufacturing,Bachelor's Degree,5500000
2081,CEO  /  GM  /  Director  /  Senior Manager,Personal Assistant,Jawa Barat,31,11,Manufacturing,Associate Degree,3750000
2082,Manager  /  Assistant Manager,Personal Assistant,Jakarta Raya,45,22,Construction,Bachelor's Degree,9000000
2083,Manager  /  Assistant Manager,Personal Assistant,Bali,44,23,Services,Bachelor's Degree,4100000
2084,Manager  /  Assistant Manager,Personal Assistant,Jawa Barat,43,22,Finance / Securities / Insurance / Real Estate,Associate Degree,10000000
2085,Manager  /  Assistant Manager,Personal Assistant,Banten,43,21,Wholesale / Retail / Trading,Bachelor's Degree,7000000
2086,Manager  /  Assistant Manager,Personal Assistant,Jakarta Raya,43,18,Services,Bachelor's Degree,7000000
2087,Manager  /  Assistant Manager,Personal Assistant,Jawa Barat,41,21,Others,Bachelor's Degree,8400000
2088,Manager  /  Assistant Manager,Personal Assistant,Jakarta Raya,41,15,Services,Bachelor's Degree,6000000
2089,Manager  /  Assistant Manager,Personal Assistant,Bali,40,16,Others,Bachelor's Degree,10000000
2090,Manager  /  Assistant Manager,Personal Assistant,Jawa Barat,40,18,Wholesale / Retail / Trading,Bachelor's Degree,8500000
2091,Manager  /  Assistant Manager,Personal Assistant,Jawa Barat,40,18,Others,Bachelor's Degree,7000000
2092,Manager  /  Assistant Manager,Personal Assistant,Jakarta Raya,40,19,Construction,Associate Degree,5000000
2093,Manager  /  Assistant Manager,Personal Assistant,Bali,40,16,Manufacturing,Bachelor's Degree,3850000
2094,Manager  /  Assistant Manager,Personal Assistant,Jakarta Raya,39,15,Manufacturing,Bachelor's Degree,7000000
2095,Manager  /  Assistant Manager,Personal Assistant,Banten,38,14,Services,Bachelor's Degree,7000000
2096,Manager  /  Assistant Manager,Personal Assistant,Jakarta Raya,36,13,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,8500000
2097,Manager  /  Assistant Manager,Personal Assistant,Jakarta Raya,36,16,Services,Bachelor's Degree,5000000
2098,Manager  /  Assistant Manager,Personal Assistant,Jawa Barat,35,15,Agriculture / Plantations / Aquaculture,Associate Degree,9700000
2099,Manager  /  Assistant Manager,Personal Assistant,Jakarta Raya,35,11,Services,Bachelor's Degree,7500000
2100,Manager  /  Assistant Manager,Personal Assistant,Bali,35,12,Services,Associate Degree,7000000
2101,Manager  /  Assistant Manager,Teller,Jakarta Raya,33,7,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,5000000
2102,Supervisor  /  Coordinator,Teller,Jakarta Raya,43,18,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3000000
2103,Supervisor  /  Coordinator,Teller,Jawa Barat,41,19,Finance / Securities / Insurance / Real Estate,Associate Degree,4000000
2104,Supervisor  /  Coordinator,Teller,Yogyakarta,37,11,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3500000
2105,Supervisor  /  Coordinator,Teller,Jakarta Raya,34,11,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,4800000
2106,Supervisor  /  Coordinator,Teller,Jawa Barat,34,8,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,2500000
2107,Supervisor  /  Coordinator,Teller,Jakarta Raya,33,9,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,4000000
2108,Supervisor  /  Coordinator,Teller,Jakarta Raya,32,8,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,5000000
2109,Supervisor  /  Coordinator,Teller,Jakarta Raya,32,11,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,4800000
2110,Supervisor  /  Coordinator,Teller,Jawa Barat,31,8,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,4700000
2111,Supervisor  /  Coordinator,Teller,Jakarta Raya,31,9,Finance / Securities / Insurance / Real Estate,Associate Degree,4500000
2112,Supervisor  /  Coordinator,Teller,Jakarta Raya,31,8,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3000000
2113,Supervisor  /  Coordinator,Teller,Jawa Tengah,30,6,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,4000000
2114,Supervisor  /  Coordinator,Teller,Jawa Timur,30,7,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3700000
2115,Supervisor  /  Coordinator,Teller,Jawa Barat,30,6,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3700000
2116,Supervisor  /  Coordinator,Teller,Jakarta Raya,29,7,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3850000
2117,Supervisor  /  Coordinator,Teller,Bangka Belitung,29,7,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3500000
2118,Supervisor  /  Coordinator,Teller,Jakarta Raya,29,6,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3500000
2119,Supervisor  /  Coordinator,Teller,Sumatera Selatan,29,7,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3200000
2120,Supervisor  /  Coordinator,Teller,Jakarta Raya,28,5,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,5000000
2121,Supervisor  /  Coordinator,Teller,Jakarta Raya,28,7,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,4700000
2122,Supervisor  /  Coordinator,Teller,Jakarta Raya,28,5,Finance / Securities / Insurance / Real Estate,Master's Degree / Post Graduate Degree,3750000
2123,Supervisor  /  Coordinator,Teller,Banten,28,5,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,3100000
2124,Supervisor  /  Coordinator,Teller,Jawa Barat,26,5,Finance / Securities / Insurance / Real Estate,Bachelor's Degree,4000000
2125,Supervisor  /  Coordinator,Teller,Jakarta Raya,25,4,Finance / Securities / Insurance / Real Estate,Associate Degree,3000000
2126,Manager  /  Assistant Manager,Process Engineer,Jakarta Raya,40,22,Manufacturing,Bachelor's Degree,12000000
2127,Manager  /  Assistant Manager,Process Engineer,Jawa Barat,40,17,Manufacturing,Associate Degree,6250000
2128,Manager  /  Assistant Manager,Process Engineer,Jawa Barat,39,14,Manufacturing,Bachelor's Degree,5800000
2129,Manager  /  Assistant Manager,Process Engineer,Jawa Tengah,38,18,Energy / Electricity / Water / Natural Resources,Bachelor's Degree,12000000
2130,Manager  /  Assistant Manager,Process Engineer,Jawa Barat,38,14,Manufacturing,Bachelor's Degree,11049000
2131,Manager  /  Assistant Manager,Process Engineer,Jawa Barat,37,12,Manufacturing,Bachelor's Degree,10000000
2132,Manager  /  Assistant Manager,Process Engineer,Banten,37,12,Manufacturing,Bachelor's Degree,7000000
2133,Manager  /  Assistant Manager,Process Engineer,Jawa Barat,36,11,Manufacturing,Bachelor's Degree,13200000
2134,Manager  /  Assistant Manager,Process Engineer,Jawa Barat,34,12,Manufacturing,Bachelor's Degree,10000000
2135,Manager  /  Assistant Manager,Process Engineer,Kepulauan Riau,34,9,Manufacturing,Bachelor's Degree,8000000
